SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
70,RL,66,8972,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,,6,,1950,Gambre,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,674,645,0,,1,0,1,0,2,1,TA,6,Typ,1,Gd,Detchd,2001,Unf,1,TA,TA,P,0,0,0,0,192,0,,MnPrv,,0,7,2008,WD,Normal,146000
20,RL,80,9923,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1,5,1952,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,TA,Y,SBrkr,1065,0,0,734,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1954,RFn,1,TA,TA,Y,0,0,164,0,0,0,,MnPrv,,0,2,2010,WD,Normal,129000
60,RL,.,8973,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,4,6,1920,1965,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,827,1316,0,721,0,0,2,1,4,1,TA,7,Typ,1,TA,Attchd,1965,Fin,2,TA,TA,Y,0,40,264,0,0,0,,MnPrv,,0,6,2009,WD,Normal,178500
20,RL,92,11935,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Somerst,Feedr,Norm,1Fam,1Story,2,5,1922,2008,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1582,0,0,499,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2008,RFn,3,TA,TA,Y,0,24,0,0,0,0,,,,0,6,2008,ConL,Partial,236128
20,RL,.,13498,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,2,6,1949,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,70,TA,Gd,CBlock,TA,TA,No,BLQ,LwQ,GasA,Fa,Y,SBrkr,1730,0,0,481,1,0,2,0,3,1,TA,7,Min,1,Gd,Detchd,1956,Unf,2,TA,TA,Y,0,99,0,0,0,0,,,,0,7,2009,WD,Normal,178625
20,RL,75,7391,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,3,6,1910,2002,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1329,0,0,969,1,0,1,0,3,1,Gd,7,Typ,0,,Detchd,1974,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2007,WD,Normal,151750
160,RM,41,2668,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,1,6,1946,1977,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,Mn,Unf,Unf,GasA,TA,Y,SBrkr,618,689,0,335,0,0,1,1,3,1,TA,5,Typ,1,TA,BuiltIn,1977,RFn,1,TA,TA,Y,143,0,0,0,0,0,,,,0,5,2006,WD,Normal,105500
20,RL,76,10615,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,4,5,1920,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,248,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Gd,Y,SBrkr,1536,0,0,1318,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,Fin,2,TA,TA,Y,170,46,0,0,0,0,,,,0,1,2007,WD,Family,216000
160,RM,24,2525,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,3,5,1900,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,972,740,0,798,0,0,2,0,3,1,Gd,7,Maj,0,,Detchd,2004,Unf,2,TA,TA,Y,0,40,0,0,0,0,,,,0,5,2006,WD,Normal,131000
120,RL,40,3883,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Greens,Norm,Norm,Twnhs,1Story,2,6,1940,1978,Gable,CompShg,Wd Sdng,Plywood,None,0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,TA,Y,SBrkr,1228,0,0,613,1,0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978,Fin,2,TA,TA,Y,225,78,0,0,0,0,,,,0,1,2010,WD,Normal,207000
