SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
50,RL,60,10287,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1979,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Mn,ALQ,LwQ,GasA,Ex,Y,SBrkr,847,437,0,1626,1,0,2,0,1,1,TA,6,Mod,0,,Detchd,1978,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,WD,Abnorml
20,RL,75,9753,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1950,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,243,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1444,0,0,2159,0,0,1,1,4,1,TA,7,Typ,0,,Attchd,1958,RFn,1,TA,TA,Y,0,0,275,0,0,0,,,Shed,500,4,2007,COD,Normal
20,RL,60,12453,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,1993,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1116,0,0,2496,1,0,2,0,3,1,Gd,6,Typ,0,,Detchd,2004,Unf,2,TA,TA,Y,0,42,0,0,0,0,,,,0,6,2009,WD,Normal
190,RH,60,6051,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Artery,Norm,2fmCon,1.5Fin,7,7,1968,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,TA,TA,Mn,LwQ,Unf,GasA,Gd,Y,SBrkr,938,745,0,2111,1,0,2,0,2,2,TA,7,Typ,1,Gd,Detchd,1910,Unf,2,TA,Fa,P,58,144,0,0,0,0,,,,0,6,2010,COD,Normal
80,RL,.,7753,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,6,5,2000,2002,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,781,641,0,2055,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2002,Fin,2,TA,TA,Y,122,0,0,0,0,0,,,,0,3,2009,WD,Normal
120,RL,24,2283,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1973,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,838,0,0,2224,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1975,Unf,1,TA,TA,Y,0,30,0,0,0,0,,,,0,6,2010,WD,Normal
20,RL,85,12636,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,1987,2007,Hip,CompShg,CemntBd,CmentBd,Stone,290,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1980,0,0,1502,1,0,2,0,2,1,Ex,7,Typ,1,Gd,Attchd,2007,Fin,3,TA,TA,Y,310,52,0,0,0,0,,,,0,5,2009,WD,Normal
20,RL,80,10200,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1940,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,1364,0,0,2404,1,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961,Unf,2,TA,TA,Y,0,20,0,0,0,0,,,,0,6,2008,COD,Normal
20,RL,75,8253,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,7,2008,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260,TA,TA,CBlock,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1094,0,0,1469,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1964,RFn,2,TA,Gd,Y,0,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal
50,RL,63,15567,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,1999,1995,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,678,589,0,2313,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1994,Unf,2,TA,TA,Y,426,0,0,0,0,0,,,Shed,400,1,2008,WD,Normal
